age_years,sqft,rooms,bedrooms,bathrooms,pool,garage,zip_median_income,dist_transit_ft,trust_score,house_value
30.6,2198,5,3,2,0,0,62986,1453,9,983573
60.2,5000,9,5,3,0,1,58762,993,7,1500000
44.4,2096,4,2,1,0,0,88702,2154,8,609042
29.9,2662,5,3,2,0,0,40000,830,7,1017708
52.1,1103,3,2,1,0,0,72330,1991,6,427017
36.2,1253,4,2,2,0,0,88508,1485,8,892262
37.3,2232,5,3,2,0,0,49415,4188,6,713026
45.4,1810,5,3,2,0,0,53871,5731,5,793279
13.7,2052,4,2,2,0,1,51678,3443,5,1214450
24.3,1657,5,3,2,0,0,63433,1613,6,690107
47.1,2511,5,3,2,0,1,113072,2184,7,1013207
16.2,3218,8,5,3,0,0,112944,968,9,1452492
30.7,3544,8,5,3,0,1,41542,3251,5,1191232
31.6,1258,4,2,2,0,0,40000,3595,5,677977
27.1,2764,7,3,1,0,0,40000,774,6,914287
76.9,3775,8,5,3,0,0,62117,912,8,1500000
31.7,2610,6,4,2,0,1,105065,1228,9,1335619
54.5,1451,3,2,1,0,0,67000,1887,8,870127
47.1,3225,8,5,3,0,0,57263,1241,7,1171288
20.7,1651,5,3,2,0,0,76189,1710,8,1055267
19.4,1603,3,2,1,0,0,100680,1793,9,513096
53.3,1404,3,2,1,0,1,56105,1564,7,876226
43.2,1686,5,3,2,0,0,83180,1377,8,829388
74.1,2287,6,4,2,0,0,62823,2110,8,984816
30.3,1211,3,2,1,0,0,71294,941,8,644489
66.7,2583,6,4,2,0,1,40000,3335,5,1152947
43.4,2446,7,4,3,0,0,42003,1314,5,810533
46.1,3057,8,5,3,0,1,64235,846,7,1075767
74.9,1660,4,2,1,0,0,40000,1469,6,887710
41.7,1473,5,3,2,0,0,49638,2297,5,511392
42.4,1662,5,3,2,0,0,59944,1826,7,659892
15.7,2301,6,4,2,0,0,200000,2871,10,1068621
11.2,1711,3,2,1,0,1,120444,2067,9,1098822
48.3,2180,5,3,2,0,0,61473,1407,5,848343
27.4,2405,5,3,2,0,0,42458,1019,5,723860
37.1,1972,4,2,1,0,0,56892,1310,7,1175960
33.1,1578,5,3,2,0,0,65740,633,7,549253
50.9,1880,3,2,1,0,1,121043,1677,10,1194416
22.0,2274,7,4,3,0,1,46310,285,6,1385915
38.2,1380,3,2,1,0,0,74355,2477,7,859759
31.7,1979,5,2,1,0,1,63519,1538,7,890642
20.0,764,3,2,1,0,0,85821,806,7,656759
35.2,924,3,2,1,0,0,48306,951,7,332061
44.9,1941,4,2,1,0,1,95725,4096,6,1273002
72.7,997,2,1,1,0,1,51333,2405,6,865737
29.7,3171,8,5,3,0,1,115969,2405,7,1104435
39.4,2044,5,3,2,0,0,87913,4095,9,745589
70.4,3656,8,5,3,0,1,51171,1085,6,1118757
30.2,4112,9,5,3,0,1,95581,2350,9,1500000
27.1,1277,4,2,2,0,0,65577,2192,7,576402
20.9,2378,5,3,2,0,0,59814,5040,4,1163877
40.2,1178,2,1,1,0,0,121463,1789,9,940690
36.1,2064,5,2,2,0,1,46653,1197,6,883430
40.6,1341,5,3,2,0,0,97690,3766,7,868196
3.1,1116,3,1,1,0,0,63198,1296,9,579628
30.5,1237,3,2,1,0,0,56997,855,7,302296
32.6,2806,7,4,3,0,0,78668,2377,7,847003
97.0,1503,3,2,1,0,1,82452,1047,9,678525
51.5,1670,3,2,1,0,0,42413,1288,4,602806
35.0,3650,8,5,3,0,1,40000,2091,6,1075189
21.8,1514,4,2,2,0,0,59747,1701,6,576378
48.9,2116,7,4,3,1,1,77259,2245,8,984861
48.9,2361,6,4,2,0,0,72051,1377,7,1084623
25.3,2838,7,4,3,0,0,40000,3233,6,1139182
77.0,993,3,2,1,0,0,40896,958,5,510795
56.6,3280,7,4,3,0,1,78709,1626,8,1277825
44.2,3017,8,5,3,0,1,68510,1423,6,1500000
23.9,3538,8,5,3,0,0,44536,2673,6,1237245
36.7,1463,3,2,1,0,0,58768,992,7,830677
17.5,2026,4,2,1,0,1,42281,1061,4,1171513
27.1,3785,8,5,3,0,1,82896,1412,8,1500000
58.2,3113,6,4,2,0,0,76349,919,7,951299
15.7,2301,5,3,2,0,0,96288,2643,7,1281595
17.7,1996,5,3,2,0,0,69133,2033,6,1141990
39.1,1352,5,3,2,0,1,46824,2163,6,739948
32.1,1303,3,2,1,0,0,96327,892,8,600589
38.0,3085,8,5,2,0,1,87874,1207,8,1265913
43.2,2151,5,3,2,0,0,52813,1204,7,758238
29.0,1577,3,2,1,0,0,68058,992,7,594166
60.2,916,2,1,1,0,1,103939,856,10,1093413
33.1,3298,7,4,3,0,0,76710,401,7,985892
42.5,1635,5,3,2,0,0,40000,2048,6,826984
42.3,1018,4,2,2,0,0,89878,2294,7,621905
45.7,3084,8,5,3,0,1,62344,1391,6,1302510
30.9,2918,8,5,3,0,0,106971,1498,8,1173087
15.2,1801,7,4,3,0,1,58571,2272,7,865373
44.1,1487,3,2,1,0,0,72353,702,6,754298
25.1,1843,4,2,1,0,0,59161,1716,6,923925
12.9,1157,3,2,1,0,0,97110,735,8,706573
49.2,3755,8,5,3,0,0,116264,3416,8,1323087
38.9,1725,4,2,1,0,0,54822,945,7,834284
36.5,1826,3,2,1,0,0,72802,3701,6,1116514
33.7,2225,5,3,2,0,0,49198,1436,4,970916
34.4,1457,3,2,1,0,0,59719,4498,5,545649
26.6,3270,8,5,3,0,1,46003,950,6,1231840
50.2,2076,5,3,2,0,0,102282,609,9,896813
42.4,1335,4,2,2,0,0,78197,2640,7,732548
18.0,1284,3,1,1,0,0,56774,3051,6,605952
16.7,2751,7,4,3,0,0,50129,1595,6,1075829
16.7,2782,6,3,2,0,0,102011,1160,8,1411001
25.3,1605,4,2,2,0,0,59732,2594,8,1121142
66.6,1106,4,1,1,0,0,57919,1301,5,594122
15.6,1413,3,2,1,0,0,55563,880,7,774588
17.5,1644,5,3,2,0,0,57326,2838,7,904837
18.3,4405,9,5,3,0,1,107968,1644,9,1500000
14.6,1640,3,1,1,0,1,56629,7917,5,872938
28.5,1230,3,2,1,0,0,86465,1599,8,1038156
13.2,2096,5,3,2,0,1,64090,1599,6,958851
66.3,1076,2,1,1,0,0,40000,1257,5,811570
19.7,1190,3,2,1,1,0,123338,2298,7,756208
51.0,1534,3,2,1,0,0,40000,557,7,918777
10.8,1034,3,1,1,0,0,45623,1635,6,600568
51.7,2452,6,4,2,0,1,72277,2859,7,786604
39.8,2293,7,4,3,0,0,67992,4168,5,803629
54.7,3112,8,5,3,0,1,53374,857,6,889574
25.4,1141,2,1,1,0,1,70958,763,7,489971
49.7,2739,6,4,2,0,0,55457,922,8,1033507
24.8,1049,3,2,1,0,0,64658,828,7,459964
53.0,2505,8,5,3,0,1,81638,2713,5,911547
64.1,1312,3,2,1,0,1,92016,271,9,829486
51.3,1121,2,1,1,0,0,60015,2513,4,478802
69.8,2164,5,3,2,0,1,43094,2558,6,992125
34.2,2734,7,4,3,0,1,40000,951,6,916534
32.1,1027,2,1,1,0,0,74278,3789,5,764827
25.3,1474,2,1,1,0,0,79580,1162,8,858653
23.1,2176,4,3,1,0,0,59714,409,5,1141555
16.5,1102,4,2,2,0,0,53598,3975,7,866061
47.6,987,4,2,2,0,0,51545,2760,6,429246
29.1,1838,4,2,1,0,0,83580,955,7,822594
33.1,3577,8,5,3,0,1,67961,2262,6,1233259
46.0,2239,5,3,2,0,0,53282,987,5,892230
34.0,1754,5,3,2,0,0,64581,2066,8,1155439
85.4,2283,5,3,2,0,0,67000,992,7,1109911
34.7,2631,6,3,1,0,0,40000,2222,5,896513
31.5,1200,3,1,1,0,0,70181,766,9,686560
68.8,1561,2,1,1,0,0,54785,2350,7,527056
14.1,1452,3,2,1,0,0,49532,1111,6,700647
57.7,2826,6,4,2,0,0,42174,543,5,1500000
30.3,1899,4,2,1,0,0,87276,1387,8,1170397
36.0,1909,4,3,1,0,1,71721,4975,6,855741
40.2,3335,7,4,2,0,1,123468,2428,8,1269290
30.8,2341,5,2,1,0,0,63569,929,7,688515
33.2,1673,4,2,1,0,0,48080,1221,6,495987
17.9,4051,8,5,3,0,1,68563,1691,7,1491313
29.6,3588,8,5,3,0,1,53052,1027,7,983623
21.2,1635,3,2,1,0,1,58169,3356,6,788815
91.8,1478,2,1,1,0,0,87634,2437,8,714226
29.5,947,2,1,1,0,0,59157,2615,5,319055
51.1,801,4,2,2,0,0,65251,1924,6,564993
29.3,2214,6,4,2,0,1,40000,2389,4,1147696
51.2,1268,3,2,1,0,0,45303,1443,6,570948
81.2,1665,3,2,1,0,0,66104,1039,7,768487
21.1,1504,3,2,1,0,0,59629,2255,8,852459
45.3,2952,7,5,2,0,0,56204,7323,3,980441
40.8,1521,3,1,1,0,1,64046,615,7,762180
62.9,2343,7,4,3,0,0,67886,4213,7,991839
39.3,1448,5,3,2,0,0,105115,2409,9,976740
28.2,2614,7,3,2,0,0,56330,1063,7,1129757
44.0,1906,4,3,1,0,0,51237,1950,8,1043608
54.0,2280,5,2,2,0,0,43290,3044,5,1126614
20.6,1448,3,2,1,0,0,78567,860,9,947517
30.4,1280,4,2,2,0,0,131847,1735,10,1008587
38.8,1290,5,3,2,0,0,79834,2035,7,757222
41.7,1775,5,3,2,0,1,58562,5905,7,739920
24.9,1684,4,1,1,0,0,62174,1155,6,773359
34.8,2515,7,4,3,1,0,138663,3207,9,1352357
32.7,1464,3,2,1,0,0,57202,3647,7,556955
31.4,1170,3,1,1,0,0,60673,1011,6,722167
41.6,1763,5,3,2,0,1,57236,1895,6,699288
33.5,1431,2,1,1,0,0,40000,3233,5,855452
41.5,1393,4,2,2,0,1,89402,4962,7,1140007
74.6,3113,7,4,2,0,1,60913,2564,5,1310129
27.4,3294,8,5,3,0,1,72750,1155,5,1290394
36.5,2246,6,4,2,0,0,55557,5430,4,782645
58.7,733,2,1,1,0,0,41555,1992,6,533760
37.4,3214,6,4,2,0,0,57094,8283,4,853847
55.5,1199,2,1,1,0,0,67061,1810,8,844161
32.5,1221,3,2,1,0,0,58269,3927,5,1204546
46.7,1726,3,2,1,0,0,61962,779,8,803483
52.5,2927,7,4,2,0,1,58592,6960,5,978928
34.8,1321,5,3,2,0,0,63784,1083,8,776829
79.7,1139,4,2,2,0,1,47827,1527,4,673171
25.0,2953,7,4,3,0,1,62198,1384,7,1058953
19.6,2745,8,5,3,0,1,64256,2228,6,938759
39.1,1679,4,2,1,0,0,51123,1299,6,627813
74.1,2334,6,4,2,0,1,86263,2086,7,1112950
26.5,3156,8,5,3,0,1,61816,3568,6,1030840
39.7,2768,8,5,3,0,1,44475,1118,4,995615
40.4,2680,7,4,3,0,1,92625,426,9,1089685
19.6,2553,7,4,3,0,1,85334,3417,7,924833
39.8,4411,9,5,3,0,1,47737,919,8,1490029
13.4,1662,5,3,2,0,1,74682,1656,6,737484
64.0,2785,6,3,2,0,1,68768,1761,7,1036054
27.1,2027,7,4,3,0,0,52887,1564,6,731843
62.4,2359,6,4,2,0,0,72277,4240,8,664926
39.5,1681,3,2,1,0,0,40000,7869,5,916434
77.6,2489,6,4,2,0,1,40000,2209,7,997471
37.9,2391,5,2,1,0,0,70924,2366,7,1009837
39.2,1320,2,1,1,0,0,40000,826,6,458501
17.4,1748,3,2,1,0,0,60601,3340,7,1104667
30.8,3286,8,5,3,0,1,49719,1009,7,1355815
38.7,1517,5,3,2,0,1,104450,2057,9,911969
37.8,2108,5,3,2,0,0,80277,374,7,712016
61.1,1345,4,2,2,0,0,42463,3426,4,752378
35.9,1836,5,3,2,0,0,73059,1829,8,959504
72.0,2414,5,3,2,0,0,49786,2458,6,979335
58.9,1499,3,2,1,0,1,53851,1650,5,920822
33.5,2958,6,4,2,0,1,76710,752,7,978004
57.9,1431,3,2,1,0,0,64509,7053,6,603115
49.7,3432,8,5,3,0,1,62351,1908,8,1126358
59.0,3382,8,5,3,0,1,49954,5329,6,944533
59.2,947,3,2,1,0,0,108132,653,9,435027
25.4,3101,8,5,3,0,0,53299,1192,7,1214763
53.0,2062,5,3,2,0,0,84101,2254,8,1096284
21.1,2151,4,3,1,0,0,55415,2483,5,803181
32.1,1231,4,2,2,0,0,81779,839,8,968250
49.4,3424,9,5,4,0,1,131314,4141,8,1073176
89.3,1851,5,3,2,0,1,57183,1646,7,1053978
61.0,2608,7,4,3,0,1,40000,824,6,1166038
60.1,1362,4,2,1,0,0,82140,1967,7,923015
98.9,735,2,1,1,0,0,58180,1343,7,483934
26.8,2056,4,2,1,0,1,50773,4423,5,709681
23.0,2271,7,4,3,0,0,90253,898,9,617162
32.0,1270,3,2,1,0,0,53279,3250,6,669657
47.4,2190,7,4,3,0,0,83766,747,8,1229858
36.2,1496,5,3,2,0,1,40000,923,7,710146
43.0,1045,2,1,1,0,0,40000,992,5,708279
34.0,2592,6,3,2,0,0,70205,2558,7,1060152
53.0,2394,6,3,2,0,0,55746,763,6,832502
38.0,1192,3,2,1,0,0,67685,1472,6,850963
66.5,1528,4,2,1,0,0,70924,2433,7,806140
68.7,1288,4,2,1,0,0,40610,2802,6,552058
12.8,4453,9,5,3,0,1,48161,1354,7,1500000
32.3,2176,5,3,2,0,1,57080,1553,8,1282109
87.5,4698,10,5,3,0,1,68580,2948,7,1429295
29.4,1787,5,3,2,0,0,44396,1930,6,878174
19.5,1777,5,3,2,0,0,59683,2634,4,694152
48.7,1265,2,1,1,0,1,40000,2845,4,641690
39.6,3492,8,5,3,0,0,100546,3202,9,1347946
48.2,1851,5,3,2,0,0,52162,5727,4,916271
42.8,1713,5,3,2,0,0,74964,734,8,897623
41.5,2088,5,3,2,0,1,47618,1942,6,912413
26.5,1580,5,3,2,0,0,78537,1090,7,947869
30.4,1838,4,3,1,0,1,53848,1981,7,906555
28.7,1521,3,2,1,0,1,58710,4014,7,652340
45.2,2812,6,4,2,0,1,61319,3751,5,1316450
51.5,2351,6,4,2,0,0,129821,1681,10,783369
49.1,2884,6,4,2,0,1,67424,4836,5,1375375
46.3,1232,3,2,1,0,0,90597,4047,7,827033
15.7,1505,5,3,2,0,0,80739,2605,8,829289
58.3,1384,3,1,1,0,0,58904,2390,7,448409
82.5,1118,2,1,1,0,0,53719,689,8,655433
36.6,2023,5,3,2,0,0,43536,1759,5,584653
50.1,2142,5,3,2,0,1,62297,1643,7,1200548
28.3,5000,9,5,3,0,1,73119,1924,6,1500000
65.4,1982,4,2,2,0,1,81959,871,7,1221890
5.0,3261,8,5,3,0,1,127413,1233,9,1457638
13.9,1859,5,3,2,0,0,75959,1009,6,891609
34.3,3588,8,5,3,0,1,57631,1129,7,1232572
56.4,1471,3,2,1,0,1,45357,795,7,951586
34.4,2530,6,3,2,0,0,40000,1004,5,724906
12.2,4610,9,5,3,0,1,55960,1387,6,1500000
61.7,3322,8,5,3,0,1,40000,1023,9,1193320
35.3,839,2,1,1,0,0,70250,1535,9,687659
61.2,1265,3,2,1,0,0,100076,802,8,793741
43.6,1557,5,3,2,0,0,45077,1223,6,550438
15.1,2057,5,3,2,0,0,40403,2343,7,910235
36.8,1671,4,2,2,0,0,72776,910,9,979584
20.9,1295,3,2,1,0,1,58429,1151,8,771679
47.2,2001,5,3,2,0,1,95960,2090,8,692753
38.5,1696,3,2,1,0,0,42630,1703,6,796198
32.4,2158,5,2,1,0,1,102763,1021,10,1144433
68.5,3663,8,5,3,0,1,97214,1757,9,1464418
41.0,1318,3,2,1,0,0,56081,2528,6,1130719
66.3,1128,2,1,1,0,0,51216,2608,6,582169
58.7,1449,4,2,2,0,0,120974,1310,8,585605
30.8,2667,5,3,2,0,1,68881,870,7,1021673
33.6,1637,5,3,2,0,0,126143,1080,9,1042714
24.0,1103,2,1,1,0,0,56796,1835,6,556719
18.2,2647,7,4,3,0,1,62430,3016,8,942151
23.5,1152,3,2,1,0,0,59384,3515,5,726641
51.2,2239,5,3,2,0,1,62200,1061,6,1301392
49.1,2126,5,3,2,0,0,44428,1756,6,687225
68.6,1837,6,4,2,0,0,78395,2300,7,962127
41.3,1618,5,3,2,0,0,42768,2156,6,743483
76.8,1594,3,1,1,0,0,76638,2602,8,697296
40.0,1911,5,3,2,0,1,50057,5797,5,630634
42.2,2415,7,4,3,0,1,79688,1262,8,1075388
57.1,2731,6,4,2,0,0,68559,1420,7,1080802
17.3,3095,6,3,2,0,1,93592,822,10,1169027
42.0,1413,4,2,2,0,0,70633,433,7,805899
30.0,2559,6,4,2,0,0,52554,1151,6,1059774
88.4,4816,9,5,3,0,1,58648,2489,7,1500000
19.6,1905,4,2,1,0,0,40000,1465,5,888023
42.3,1759,4,3,1,0,0,64028,1546,6,679885
76.5,1825,5,3,2,0,0,84336,1997,8,756027
49.1,2691,7,4,3,0,1,45694,4606,6,921356
18.8,1199,3,2,1,0,0,58348,2962,6,691757
47.9,1821,4,2,1,0,0,67475,1503,6,985566
29.3,2222,5,3,2,0,0,70713,948,5,861868
26.3,3238,8,4,3,0,0,40153,2660,6,1067966
29.9,1925,5,3,2,0,1,68077,3904,7,1046326
37.3,1681,3,2,1,0,0,57863,2285,6,870909
57.9,1550,5,3,2,0,0,40000,4171,5,796600
49.0,1348,3,2,1,0,0,50028,1400,7,869977
32.4,2302,5,3,2,0,1,66303,3466,7,659277
31.7,2439,5,3,2,0,1,74150,1482,7,1288672
18.6,1167,3,2,1,0,0,42610,1567,6,638909
33.9,4026,8,5,3,0,0,40851,2212,6,1500000
89.4,2595,8,5,3,0,1,64767,1136,7,1036762
9.7,1275,4,2,2,0,0,48567,983,5,894163
49.4,1903,5,3,2,0,0,69379,4033,5,874300
60.5,2112,5,3,2,0,1,56132,1619,6,1089648
9.3,2164,5,2,2,0,0,55417,6033,4,1070093
38.5,1595,4,2,2,0,1,87447,3451,7,1071648
54.2,3250,9,5,4,0,0,59495,1196,6,959593
74.3,2385,7,4,3,0,0,61869,2289,7,953737
21.7,4547,8,5,3,0,1,55336,1836,6,1500000
36.2,2124,5,3,2,0,1,72319,1650,8,1093969
24.3,1462,4,2,2,0,1,73713,1908,7,951748
28.9,1274,2,1,1,0,0,40000,5020,6,801016
61.7,871,2,1,1,0,0,71254,606,7,642589
56.4,2696,6,3,2,0,0,40763,3643,4,978796
18.5,2502,6,4,2,0,1,65329,1363,7,1249884
53.8,1594,4,1,1,0,0,54106,1863,7,700258
33.8,1633,4,2,1,0,0,61839,2364,5,1120868
8.7,1407,5,3,2,0,1,51018,2030,7,782827
37.6,2648,6,4,2,0,1,87557,1662,7,852604
25.1,2291,5,3,2,1,0,45873,1918,6,891230
26.3,3811,9,5,3,0,1,54848,689,5,1403924
33.5,3077,7,4,3,0,1,40000,999,6,1248152
78.0,2306,6,3,2,0,1,83914,1984,8,1013047
32.4,1682,3,2,1,0,1,46237,6825,3,1049067
15.0,2368,5,3,2,0,1,61443,1903,4,1282940
37.4,3850,8,5,3,0,0,40000,4234,5,1268431
50.1,1238,3,2,1,0,0,106053,4770,6,568131
56.1,1277,3,2,1,0,0,46657,1450,5,957383
43.8,2170,6,3,2,0,1,50088,538,8,1081372
56.5,4290,10,5,3,0,1,66935,3785,6,1500000
48.4,2710,7,4,3,0,0,160523,567,10,1016382
24.3,1878,4,3,1,0,0,72488,1675,6,910938
42.4,1203,3,2,1,0,0,59876,488,7,764709
40.6,2474,7,4,3,0,0,40000,4171,6,1202282
22.6,2009,5,3,2,0,0,40000,876,6,1168187
36.1,1682,4,2,1,0,0,50363,1895,5,696465
34.8,1524,5,3,2,0,0,104579,339,10,1151975
61.3,1792,4,2,2,0,0,48543,2384,5,1049507
23.1,1048,3,1,1,0,0,56923,1162,5,836920
37.4,2565,6,4,2,0,1,101881,992,9,1010205
21.3,1189,3,1,1,0,1,70261,1401,7,655963
32.1,1834,3,2,1,0,0,109712,2193,9,1005271
53.5,2258,6,4,2,1,0,118770,1288,9,1305993
51.6,931,3,2,1,0,0,66315,914,8,974222
87.9,2470,5,3,2,1,1,40000,5972,3,907127
26.4,2027,5,3,2,0,0,43244,1483,5,710715
33.7,1948,5,3,2,0,0,172939,2386,10,1264942
23.1,5000,10,5,3,0,1,58174,2467,5,1500000
26.0,1346,3,1,1,0,1,86979,2196,7,981049
42.7,2365,5,3,2,0,0,67534,3919,6,924555
39.7,1419,3,2,1,0,0,66736,1503,6,910579
53.5,2678,6,4,2,0,0,54478,2381,6,950447
18.8,1906,5,3,2,0,1,65226,2349,7,1108475
44.7,2225,5,3,2,0,0,59106,2710,6,979822
52.9,1825,5,2,1,0,0,57654,7837,5,630774
32.4,1848,7,4,3,0,0,51337,626,4,781713
120.0,2301,5,3,2,0,1,49737,1189,6,848965
7.1,2746,7,4,3,0,1,44582,2914,7,1218721
62.2,972,3,1,1,0,0,54902,2272,6,844684
27.1,1700,5,3,2,0,0,42953,1348,5,776427
35.5,1380,3,2,1,0,0,81425,3020,8,835547
27.5,1318,3,2,1,0,0,65974,1507,6,1093423
34.1,3967,9,5,4,0,1,40000,2751,6,1500000
35.7,3117,7,4,3,0,1,86887,1884,8,1413111
33.8,1431,3,2,1,0,0,40000,1275,5,767401
56.3,2238,5,2,1,0,0,76684,4591,6,835591
56.4,1956,6,3,3,0,0,69725,1315,6,812013
62.9,1484,4,2,2,0,1,82230,1375,7,727361
27.1,1536,5,3,2,0,0,66351,1601,8,908422
11.5,1749,5,3,2,0,0,131770,1634,10,824449
62.1,4938,10,5,3,0,1,85306,2028,9,1500000
34.4,5000,10,5,3,0,1,62085,1506,6,1414354
58.7,3112,8,5,3,0,1,59413,779,9,1158878
24.0,2354,6,3,2,0,0,54036,2023,6,690648
17.4,1208,3,2,1,0,0,49678,679,7,1004278
14.2,2998,6,4,2,0,1,51702,498,7,1006385
10.8,1057,3,2,1,0,0,90527,2701,8,748328
8.8,1815,3,2,1,0,0,60739,2904,8,1171632
36.0,5000,10,5,3,0,1,57921,2404,6,1500000
101.9,5000,9,5,3,0,1,65182,2843,6,1500000
43.7,2743,7,4,3,0,1,92323,4660,8,1265080
32.2,1401,3,2,1,0,0,88399,1548,7,573494
37.6,3104,7,4,2,0,1,51716,2094,3,1108544
64.5,3417,8,5,3,0,1,40000,1406,6,1383670
30.4,2036,5,3,2,0,1,40000,1031,5,712040
15.9,3062,6,4,2,0,0,40000,3311,5,989421
60.9,2141,5,3,2,0,0,79199,3422,7,897387
24.9,1405,3,2,1,0,0,40000,1941,5,1028112
35.6,708,2,1,1,0,0,64607,1363,6,571858
16.3,1657,3,2,1,0,0,49364,1975,6,1076595
53.6,1615,4,2,1,0,0,40000,1475,6,616498
36.5,2989,8,5,3,0,1,79852,3788,5,1057892
22.7,1894,5,3,2,0,0,57314,1257,6,1000491
27.2,3922,9,5,3,0,1,70069,346,9,1369069
36.7,2071,7,4,3,0,0,60427,2680,7,1085705
21.7,1712,7,4,3,0,0,60687,1740,6,750779
40.0,3865,8,5,3,0,1,57732,1864,7,1037137
47.0,1895,5,3,2,0,0,64274,1922,7,856006
27.7,1584,4,2,2,1,1,75770,1800,6,1140891
32.6,1549,5,3,2,0,1,58375,3241,4,1001119
85.1,1430,4,2,1,0,0,57254,1178,7,478875
57.7,1911,5,3,2,0,1,54020,1912,6,1107726
44.4,1624,4,2,1,0,1,69920,4725,7,689168
60.7,1205,3,2,1,0,0,63279,2504,6,842085
33.9,1272,3,1,1,0,0,43777,1853,6,626291
18.1,2522,7,4,3,0,0,67215,5877,7,1192545
28.4,2052,5,3,2,0,1,49688,1640,5,710095
53.3,1543,3,2,1,0,0,93982,3504,6,759476
11.8,1454,4,2,2,0,0,54960,1396,7,749363
38.7,3392,7,5,2,0,1,61011,1244,7,1293780
18.4,1458,4,2,2,0,0,71469,1238,5,501449
17.9,1690,4,2,2,0,1,40000,1031,5,635852
59.6,2118,5,3,2,0,0,128174,1373,9,811331
28.2,1457,4,2,2,0,0,96094,1535,7,623955
61.5,1370,3,2,1,0,0,90677,4005,7,1045802
29.2,2016,6,4,2,0,0,44138,3357,5,738925
18.6,3725,8,5,3,0,1,42079,1568,6,1317986
72.0,1256,4,2,2,0,0,122051,1329,10,809810
56.5,1959,4,2,1,0,0,75890,2993,7,894165
37.1,2010,5,3,2,0,1,57371,1571,7,984170
40.4,3017,6,4,2,0,0,40000,3823,6,1030775
22.2,3820,9,5,3,0,0,40000,7714,5,1177836
55.3,1820,5,3,2,1,1,72396,1189,6,1205638
29.6,1739,5,3,2,0,0,57794,3311,6,810737
29.1,1325,4,1,1,0,0,55042,1071,7,945009
24.9,2132,7,4,3,0,1,47920,4137,5,1219786
39.3,2237,6,4,2,0,0,63299,877,6,1173653
119.3,1113,2,1,1,0,0,49531,2476,5,736823
35.6,3220,8,5,3,0,1,116004,1819,8,1280984
37.6,1194,4,2,2,0,0,60094,2170,6,733992
19.3,3090,7,4,2,1,0,64020,763,8,1500000
29.9,3240,7,4,2,0,0,40000,988,6,787210
39.6,2165,3,2,1,0,0,42019,1344,4,870518
